StateName,TotalElectricVehicle,TotalNonElectricVehicle,Total
Andaman&NicobarIsland,162,146945,147107
ArunachalPradesh,20,252965,252985
Assam,64766,4677053,4741819
Bihar,83335,10407078,10490413
Chandigarh,2812,746881,749693
Chhattisgarh,20966,6836200,6857166
Delhi,156393,7685600,7841993
Goa,3870,1071570,1075440
Gujarat,45272,20605484,20650756
Haryana,37035,10778270,10815305
HimachalPradesh,1175,1964754,1965929
JammuandKashmir,2941,1869962,1872903
Jharkhand,16811,6486937,6503748
Karnataka,120532,26870303,26990835
Kerala,30775,15774078,15804853
Ladakh,26,38302,38328
Maharashtra,116646,31058990,31175636
Manipur,586,499324,499910
Meghalaya,49,459001,459050
Mizoram,21,315626,315647
Nagaland,58,339129,339187
Odisha,23371,9845073,9868444
Puducherry,2149,1213735,1215884
Punjab,14804,12463019,12477823
Rajasthan,81338,17327388,17408726
Sikkim,21,97189,97210
TamilNadu,82051,29842376,29924427
Tripura,9262,650026,659288
UTofDNHandDD,183,307671,307854
Uttarakhand,31008,3312041,3343049
UttarPradesh,337180,40092490,40429670
WestBengal,48767,14134171,14182938
